year,month,day,temp_morning,temp_evening,average,actual,Event_rain
2013,1,1,36,37,45.6,40,1
2013,1,2,37,40,45.7,39,1
2013,1,3,40,39,45.8,42,1
2013,1,4,39,42,45.9,38,1
2013,1,5,42,38,46,45,1
2013,1,6,38,45,46.1,49,1
2013,1,7,45,49,46.2,48,1
2013,1,8,49,48,46.3,40,1
2013,1,9,48,40,46.4,39,1
2013,1,10,40,39,46.5,38,1
2013,1,11,39,38,46.7,39,1
2013,1,12,38,39,46.8,47,1
2013,1,13,39,47,46.9,53,1
2013,1,14,47,53,47,54,1
2013,1,15,53,54,47.1,52,1
2013,1,16,54,52,47.3,55,1
2013,1,17,52,55,47.4,50,1
2013,1,18,55,50,47.5,42,1
2013,1,19,50,42,47.6,45,1
2013,1,20,42,45,47.7,44,1
2013,1,21,45,44,47.8,49,1
2013,1,22,44,49,47.9,49,1
2013,1,23,49,49,48,46,1
2013,1,24,49,46,48.1,48,1
2013,1,25,46,48,48.2,50,1
2013,1,26,48,50,48.3,54,1
2013,1,27,50,54,48.4,50,1
2013,1,28,54,50,48.4,52,1
2013,1,29,50,52,48.5,48,1
2013,1,30,52,48,48.6,44,1
2013,1,31,48,44,48.7,44,1
2013,2,1,44,44,48.8,46,1
2013,2,2,44,46,48.8,51,1
2013,2,3,46,51,48.9,49,1
2013,2,4,51,49,49,50,1
2013,2,5,49,50,49.1,47,1
2013,2,6,50,47,49.1,50,1
2013,2,7,47,50,49.2,48,1
2013,2,8,50,48,49.3,46,1
2013,2,9,48,46,49.4,45,1
2013,2,10,46,45,49.4,47,1
2013,2,11,45,47,49.5,47,1
2013,2,12,47,47,49.6,54,1
2013,2,13,47,54,49.7,52,1
2013,2,14,54,52,49.8,50,1
2013,2,15,52,50,49.9,46,1
2013,2,16,50,46,49.9,44,1
2013,2,17,46,44,50,44,1
2013,2,18,44,44,50.1,49,1
2013,2,19,44,49,50.2,43,1
2013,2,20,49,43,50.4,45,1
2013,2,21,43,45,50.5,45,1
2013,2,22,45,45,50.6,44,1
2013,2,23,45,44,50.7,37,1
2013,2,24,44,37,50.8,35,1
2013,2,25,37,35,50.9,31,1
2013,2,26,35,31,51.1,34,1
2013,2,27,31,34,51.2,42,1
2013,2,28,34,42,51.3,40,1
2013,3,1,42,40,51.5,44,1
2013,3,2,40,44,51.6,50,1
2013,3,3,44,50,51.8,48,1
2013,3,4,50,48,51.9,49,0
2013,3,5,48,49,52.1,50,0
2013,3,6,49,50,52.2,47,0
2013,3,7,50,47,52.4,48,0
2013,3,8,47,48,52.5,52,0
2013,3,9,48,52,52.7,52,0
2013,3,10,52,52,52.8,53,0
2013,3,11,52,53,53,53,0
2013,3,12,53,53,53.1,48,0
2013,3,13,53,48,53.3,53,0
2013,3,14,48,53,53.4,53,0
2013,3,15,53,53,53.6,55,0
2013,3,16,53,55,53.7,48,0
2013,3,17,55,48,53.9,51,0
2013,3,18,48,51,54,50,0
2013,3,19,51,50,54.2,54,0
2013,3,20,50,54,54.3,50,0
2013,3,21,54,50,54.5,50,0
2013,3,22,50,50,54.6,51,0
2013,3,23,50,51,54.7,62,0
2013,3,24,51,62,54.9,61,0
2013,3,25,62,61,55,55,0
2013,3,26,61,55,55.2,50,0
2013,3,27,55,50,55.3,51,0
2013,3,28,50,51,55.5,51,0
2013,3,29,51,51,55.6,49,0
2013,3,30,51,49,55.7,51,0
2013,3,31,49,51,55.9,54,0
2013,4,1,51,54,56,48,0
2013,4,2,54,48,56.2,48,0
2013,4,3,48,48,56.3,49,0
2013,4,4,48,49,56.5,47,0
2013,4,5,49,47,56.6,46,0
2013,4,6,47,46,56.8,48,0
2013,4,7,46,48,56.9,49,0
2013,4,8,48,49,57.1,54,0
2013,4,9,49,54,57.2,55,0
2013,4,10,54,55,57.4,55,0
2013,4,11,55,55,57.6,51,0
2013,4,12,55,51,57.7,53,1
2013,4,13,51,53,57.9,48,1
2013,4,14,53,48,58.1,47,0
2013,4,15,48,47,58.3,53,0
2013,4,16,47,53,58.5,53,1
2013,4,17,53,53,58.6,52,1
2013,4,18,53,52,58.8,51,0
2013,4,19,52,51,59,53,0
2013,4,20,51,53,59.2,54,1
2013,4,21,53,54,59.4,53,1
2013,4,22,54,53,59.7,57,1
2013,4,23,53,57,59.9,66,0
2013,4,24,57,66,60.1,55,0
2013,4,25,66,55,60.3,52,0
2013,4,26,55,52,60.5,57,0
2013,4,27,52,57,60.7,52,0
2013,4,28,57,52,61,51,1
2013,4,29,52,51,61.2,54,1
2013,4,30,51,54,61.4,56,1
2013,5,1,54,56,61.6,62,1
2013,5,2,56,62,61.9,53,1
2013,5,3,62,53,62.1,58,1
2013,5,4,53,58,62.3,62,0
2013,5,5,58,62,62.5,57,1
2013,5,6,62,57,62.8,54,0
2013,5,7,57,54,63,56,1
2013,5,8,54,56,63.2,58,1
2013,5,9,56,58,63.4,57,0
2013,5,10,58,57,63.6,59,1
2013,5,11,57,59,63.8,51,1
2013,5,12,59,51,64.1,60,1
2013,5,13,51,60,64.3,64,1
2013,5,14,60,64,64.5,66,1
2013,5,15,64,66,64.7,51,0
2013,5,16,66,51,64.8,56,0
2013,5,17,51,56,65,64,0
2013,5,18,56,64,65.2,66,0
2013,5,19,64,66,65.4,68,0
2013,5,20,66,68,65.6,70,0
2013,5,21,68,70,65.7,54,1
2013,5,22,70,54,65.9,60,1
2013,5,23,54,60,66.1,63,1
2013,5,24,60,63,66.2,65,1
2013,5,25,63,65,66.4,56,1
2013,5,26,65,56,66.5,61,1
2013,5,27,56,61,66.7,58,1
2013,5,28,61,58,66.8,62,1
2013,5,29,58,62,67,59,0
2013,5,30,62,59,67.1,61,0
2013,5,31,59,61,67.3,61,0
2013,6,1,61,61,67.4,59,0
2013,6,2,61,59,67.6,61,0
2013,6,3,59,61,67.7,68,0
2013,6,4,61,68,67.9,78,0
2013,6,5,68,78,68,71,1
2013,6,6,78,71,68.2,72,1
2013,6,7,71,72,68.3,64,1
2013,6,8,72,64,68.5,62,1
2013,6,9,64,62,68.6,69,1
2013,6,10,62,69,68.8,65,1
2013,6,11,69,65,69,66,1
2013,6,12,65,66,69.1,70,1
2013,6,13,66,70,69.3,68,1
2013,6,14,70,68,69.5,63,1
2013,6,15,68,63,69.7,65,1
2013,6,16,63,65,69.8,70,1
2013,6,17,65,70,70,71,1
2013,6,18,70,71,70.2,58,1
2013,6,19,71,58,70.4,63,1
2013,6,20,58,63,70.6,70,1
2013,6,21,63,70,70.8,78,1
2013,6,22,70,78,71,67,1
2013,6,23,78,67,71.3,66,1
2013,6,24,67,66,71.5,67,1
2013,6,25,66,67,71.7,68,1
2013,6,26,67,68,71.9,72,1
2013,6,27,68,72,72.2,69,1
2013,6,28,72,69,72.4,74,1
2013,6,29,69,74,72.6,67,1
2013,6,30,74,67,72.8,67,1
2013,7,1,67,67,73.1,72,1
2013,7,2,67,72,73.3,82,1
2013,7,3,72,82,73.5,72,1
2013,7,4,82,72,73.8,78,1
2013,7,5,72,78,74,81,1
2013,7,6,78,81,74.2,84,1
2013,7,7,81,84,74.4,67,1
2013,7,8,84,67,74.6,71,1
2013,7,9,67,71,74.9,74,1
2013,7,10,71,74,75.1,76,1
2013,7,11,74,76,75.3,75,1
2013,7,12,76,75,75.4,70,1
2013,7,13,75,70,75.6,73,1
2013,7,14,70,73,75.8,62,1
2013,7,15,73,62,76,76,1
2013,7,16,62,76,76.1,74,1
2013,7,17,76,74,76.3,63,1
2013,7,18,74,63,76.4,74,1
2013,7,19,63,74,76.6,70,1
2013,7,20,74,70,76.7,74,1
2013,7,21,70,74,76.8,70,1
2013,7,22,74,70,76.9,72,0
2013,7,23,70,72,77,79,0
2013,7,24,72,79,77.1,83,0
2013,7,25,79,83,77.1,63,0
2013,7,26,83,63,77.2,70,0
2013,7,27,63,70,77.3,72,0
2013,7,28,70,72,77.3,78,0
2013,7,29,72,78,77.3,76,0
2013,7,30,78,76,77.3,79,0
2013,7,31,76,79,77.4,71,0
2013,8,1,79,71,77.4,77,0
2013,8,2,71,77,77.4,77,0
2013,8,3,77,77,77.3,79,0
2013,8,4,77,79,77.3,81,0
2013,8,5,79,81,77.3,66,0
2013,8,6,81,66,77.2,73,0
2013,8,7,66,73,77.2,74,0
2013,8,8,73,74,77.1,70,0
2013,8,9,74,70,77.1,70,0
2013,8,10,70,70,77,71,0
2013,8,11,70,71,76.9,74,0
2013,8,12,71,74,76.9,76,0
2013,8,13,74,76,76.8,70,0
2013,8,14,76,70,76.7,71,0
2013,8,15,70,71,76.6,74,0
2013,8,16,71,74,76.5,78,0
2013,8,17,74,78,76.4,77,0
2013,8,18,78,77,76.3,73,0
2013,8,19,77,73,76.2,78,0
2013,8,20,73,78,76.1,85,0
2013,8,21,78,85,75.9,87,0
2013,8,22,85,87,75.8,71,0
2013,8,23,87,71,75.7,77,0
2013,8,24,71,77,75.5,84,0
2013,8,25,77,84,75.4,82,0
2013,8,26,84,82,75.3,84,0
2013,8,27,82,84,75.1,84,0
