 ,Guo Huai,Pang Tong,Yuan Shao,Zhao Yun,Zhang Fei,Zhou Yu,Lu Meng,Sima Yi,Meng Da,Meng Huo,Dong Cheng,Jiang Wei,Xu Huang,Guan Yu,Zhuge Liang,Zhang He,Liu Biao,Cao Cao,Lu Su,Pang De,Xu Chu,Ma Dai,Lu Bu,Lu Xun,Cao Hong,Wei Yan,Deng Ai,Liu Zhang,Ma Chao,Cao Pi,Xiahou Yuan,Zhang Liao,Cao Zhen,Zhong Hui,Zhang Bao,Sima Zhao,Dong Zhuo,Sun Ce,Xiahou Dun,Li Jue,Liu Bei,Cao Ren,Yuan Shu,Sun Quan
Guo Huai,1.0,0.95016,0.92899513,0.97394085,0.93148804,0.93883896,0.9845152,0.95513153,0.9880028,0.995841,0.9898281,0.9764633,0.98292637,0.86750317,0.7598963,0.99014664,0.9230385,0.516376,0.89579964,0.98900986,0.9429951,0.9796181,0.93330574,0.9699993,0.86138344,0.9852848,0.9880991,0.9653435,0.99633217,0.8444376,0.99096966,0.99101067,0.8470011,0.9823704,0.9746809,0.98153305,0.9820366,0.9915371,0.98783016,0.98491955,0.6603365,0.80673695,0.9896307,0.94648933
Pang Tong,0.94873905,1.0,0.96284866,0.96949196,0.9266844,0.98051643,0.97753525,0.97712517,0.944293,0.9491434,0.9750452,0.9871063,0.9230013,0.90661144,0.881794,0.9534931,0.9506645,0.5025821,0.97690105,0.91129017,0.89107704,0.93570614,0.9888592,0.99378586,0.761199,0.97675323,0.9772539,0.96209526,0.94849586,0.8495283,0.95181084,0.951169,0.8762932,0.9866953,0.89637566,0.9744301,0.970006,0.97569656,0.9432459,0.9387989,0.70886135,0.76867104,0.93892956,0.98469734
Yuan Shao,0.9382286,0.96857643,1.0,0.9372406,0.92342377,0.9596491,0.95640755,0.9885187,0.9038391,0.9282484,0.97019386,0.97880363,0.9099083,0.90193367,0.8740082,0.9523239,0.93264866,0.57926655,0.9701662,0.8923712,0.9373989,0.8978329,0.98075485,0.9769058,0.81918716,0.9421778,0.95663357,0.92658615,0.94531727,0.89941597,0.9464178,0.95353127,0.93600464,0.96509457,0.8882637,0.9692669,0.97455883,0.9603319,0.94822025,0.9024687,0.70313597,0.84967804,0.90723515,0.98810196
Zhao Yun,0.97110176,0.9671068,0.92000103,1.0,0.96541786,0.9698887,0.9670458,0.9566927,0.96810627,0.9701557,0.97260475,0.96678925,0.9400492,0.92367554,0.8316755,0.9788494,0.95085144,0.46369886,0.9189701,0.9444227,0.8709526,0.9700947,0.9551487,0.97277164,0.78120995,0.98911285,0.9742689,0.97870255,0.96423817,0.78738403,0.9521723,0.957387,0.80450535,0.98536587,0.96014595,0.96207905,0.9536905,0.97250557,0.942317,0.9624567,0.72238255,0.7254133,0.9730625,0.9556122
Zhang Fei,0.92093754,0.91773987,0.8984213,0.96401215,1.0,0.95988655,0.9038906,0.93434334,0.8974142,0.9143419,0.9297886,0.9201927,0.8601427,0.96087456,0.8370781,0.9527664,0.94071865,0.44189596,0.90019894,0.8748703,0.8170757,0.90909576,0.92279625,0.92846775,0.73288727,0.94143486,0.91499805,0.94207954,0.9115324,0.7309513,0.88838863,0.9115763,0.75714207,0.93642616,0.9470997,0.91249657,0.9069433,0.92192173,0.8922777,0.88681316,0.751678,0.68377495,0.91532993,0.92422867
Zhou Yu,0.9335232,0.9794092,0.94958496,0.9704857,0.9622183,1.0,0.9518833,0.9694233,0.9204149,0.9295654,0.95766926,0.9692297,0.89203453,0.96523,0.8933735,0.95594597,0.95212173,0.47433662,0.96850777,0.8867817,0.8608856,0.9215336,0.97710705,0.9772358,0.7345133,0.9659462,0.95673084,0.95467186,0.93133163,0.80622196,0.9259882,0.93754387,0.8386793,0.9736767,0.9079857,0.953495,0.9486418,0.9574785,0.920146,0.91366196,0.73247194,0.7334566,0.92044544,0.97245216
Lu Meng,0.9843168,0.9778795,0.9492502,0.96990204,0.9156513,0.9551649,1.0,0.96928596,0.9795885,0.98665714,0.99053,0.99070835,0.9754133,0.86535263,0.798151,0.9752264,0.9256029,0.5101905,0.934989,0.9693394,0.95088387,0.9653034,0.96391773,0.9877386,0.8285122,0.98521423,0.9934988,0.9616318,0.98617554,0.86106014,0.9892111,0.98773575,0.8731985,0.9901295,0.9343195,0.99415684,0.9918642,0.99431324,0.9859724,0.9779663,0.6530123,0.8090086,0.97483635,0.96773815
Sima Yi,0.9576769,0.9790211,0.98755074,0.96316147,0.94633293,0.97346497,0.97139454,1.0,0.9289379,0.952898,0.98333836,0.98792934,0.92634964,0.9175043,0.87770367,0.96869564,0.95497704,0.54381275,0.9696388,0.91382694,0.9393501,0.9201374,0.9873638,0.98836327,0.812438,0.96236324,0.9708338,0.9545746,0.96178627,0.87379074,0.9568205,0.96393585,0.9113121,0.9802141,0.91468716,0.98375416,0.9831734,0.97418785,0.9625664,0.9253187,0.72998,0.8252859,0.9324341,0.9947815
Meng Da,0.9868345,0.9405613,0.87869644,0.9684372,0.9024439,0.91964626,0.97788334,0.91732407,1.0,0.9901409,0.9698639,0.9575205,0.98159695,0.8332863,0.72284794,0.9692192,0.9044895,0.46925974,0.8668041,0.98931694,0.9011469,0.9908924,0.9094782,0.9549656,0.826601,0.9859419,0.98159695,0.9643221,0.9815502,0.801074,0.9777632,0.97240543,0.7892647,0.971632,0.9627247,0.961112,0.95786667,0.97981167,0.9671087,0.9956417,0.6328988,0.7523594,0.99310017,0.9126167
Meng Huo,0.995594,0.94762135,0.912632,0.97149086,0.9213705,0.9313555,0.9860449,0.94710445,0.9904833,1.0,0.98590565,0.9706707,0.97793484,0.84934616,0.7477865,0.97929096,0.92063236,0.48769236,0.8901663,0.989275,0.93427944,0.9756861,0.9257784,0.96582985,0.840044,0.983881,0.98313236,0.96715736,0.99047375,0.8222923,0.9841614,0.9835167,0.82111454,0.9772444,0.9660902,0.9816675,0.977932,0.98854065,0.9870701,0.9860668,0.65271187,0.78314304,0.99361897,0.9362793
Dong Cheng,0.98985195,0.9757948,0.9658203,0.9753542,0.93930244,0.9611473,0.9906721,0.982378,0.97260475,0.9867258,1.0,0.9924917,0.9661598,0.8886261,0.8169079,0.9860363,0.9449196,0.51752615,0.94247246,0.9656496,0.94865227,0.9620209,0.96763134,0.98993206,0.83425903,0.9857483,0.99086666,0.96884155,0.9889841,0.8601475,0.98654747,0.9878988,0.8787365,0.99030685,0.95186615,0.9932747,0.9943323,0.995738,0.9877329,0.9693699,0.68830824,0.81079865,0.9752579,0.9769726
Jiang Wei,0.9774437,0.9879856,0.9766512,0.9712992,0.93372536,0.9728699,0.9912081,0.9877367,0.962904,0.9734659,0.99278736,1.0,0.9609785,0.8977194,0.8452091,0.9799013,0.9413557,0.53652716,0.9609518,0.9482651,0.9470911,0.9544754,0.9820528,0.9963541,0.8277283,0.9831524,0.99226856,0.96143913,0.9810076,0.8819361,0.98250675,0.98376656,0.9041605,0.993701,0.9308624,0.99195385,0.993495,0.99296,0.978014,0.9600458,0.6858845,0.82395935,0.95872784,0.9877844
Xu Huang,0.98433876,0.93133163,0.90501213,0.9504118,0.88883686,0.9088888,0.97773266,0.9283819,0.98461914,0.9808941,0.9688864,0.9626522,1.0,0.8208828,0.7143669,0.97243977,0.8763323,0.5563984,0.8622532,0.98714733,0.9548979,0.9785404,0.91337776,0.95194244,0.8954811,0.9684038,0.98182774,0.93456936,0.98966694,0.87156963,0.9894905,0.986248,0.8641529,0.96794987,0.95347023,0.966382,0.96967316,0.97672176,0.97727966,0.9867945,0.5980315,0.8421583,0.97515106,0.92558956
