,negative
0,abnormal
1,abolish
2,abominable
3,abominably
4,abominate
5,abomination
6,abort
7,aborted
8,aborts
9,abrade
10,abrasive
11,abrupt
12,abruptly
13,abscond
14,absence
15,absent-minded
16,absentee
17,absurd
18,absurdity
19,absurdly
20,absurdness
21,abuse
22,abused
23,abuses
24,abusive
25,abysmal
26,abysmally
27,abyss
28,accidental
29,accost
30,accursed
31,accusation
32,accusations
33,accuse
34,accuses
35,accusing
36,accusingly
37,acerbate
38,acerbic
39,acerbically
40,ache
41,ached
42,aches
43,achey
44,aching
45,acrid
46,acridly
47,acridness
48,acrimonious
49,acrimoniously
50,acrimony
51,adamant
52,adamantly
53,addict
54,addicted
55,addicting
56,addicts
57,admonish
58,admonisher
59,admonishingly
60,admonishment
61,admonition
62,adulterate
63,adulterated
64,adulteration
65,adulterier
66,adversarial
67,adversary
68,adverse
69,adversity
70,afflict
71,affliction
72,afflictive
73,affront
74,afraid
75,aggravate
76,aggravating
77,aggravation
78,aggression
79,aggressive
80,aggressiveness
81,aggressor
82,aggrieve
83,aggrieved
84,aggrivation
85,aghast
86,agonies
87,agonize
88,agonizing
89,agonizingly
90,agony
91,aground
92,ail
93,ailing
94,ailment
95,aimless
96,alarm
97,alarmed
98,alarming
99,alarmingly
100,alienate
101,alienated
102,alienation
103,allegation
104,allegations
105,allege
106,allergic
107,allergies
108,allergy
109,aloof
110,altercation
111,ambiguity
112,ambiguous
113,ambivalence
114,ambivalent
115,ambush
116,amiss
117,amputate
118,anarchism
119,anarchist
120,anarchistic
121,anarchy
122,anemic
123,anger
124,angrily
125,angriness
126,angry
127,anguish
128,animosity
129,annihilate
130,annihilation
131,annoy
132,annoyance
133,annoyances
134,annoyed
135,annoying
136,annoyingly
137,annoys
138,anomalous
139,anomaly
140,antagonism
141,antagonist
142,antagonistic
143,antagonize
144,anti-
145,anti-american
146,anti-israeli
147,anti-occupation
148,anti-proliferation
149,anti-semites
150,anti-social
151,anti-us
152,anti-white
153,antipathy
154,antiquated
155,antithetical
156,anxieties
157,anxiety
158,anxious
159,anxiously
160,anxiousness
161,apathetic
162,apathetically
163,apathy
164,apocalypse
165,apocalyptic
166,apologist
167,apologists
168,appal
169,appall
170,appalled
171,appalling
172,appallingly
173,apprehension
174,apprehensions
175,apprehensive
176,apprehensively
177,arbitrary
178,arcane
179,archaic
180,arduous
181,arduously
182,argumentative
183,arrogance
184,arrogant
185,arrogantly
186,ashamed
187,asinine
188,asininely
189,asinininity
190,askance
191,asperse
192,aspersion
193,aspersions
194,assail
195,assassin
196,assassinate
197,assault
198,assult
199,astray
200,asunder
201,atrocious
202,atrocities
203,atrocity
204,atrophy
205,attack
206,attacks
207,audacious
208,audaciously
209,audaciousness
210,audacity
211,audiciously
212,austere
213,authoritarian
214,autocrat
215,autocratic
216,avalanche
217,avarice
218,avaricious
219,avariciously
220,avenge
221,averse
222,aversion
223,aweful
224,awful
225,awfully
226,awfulness
227,awkward
228,awkwardness
229,ax
230,babble
231,back-logged
232,back-wood
233,back-woods
234,backache
235,backaches
236,backaching
237,backbite
238,backbiting
239,backward
240,backwardness
241,backwood
242,backwoods
243,bad
244,badly
245,baffle
246,baffled
247,bafflement
248,baffling
249,bait
250,balk
251,banal
252,banalize
253,bane
254,banish
255,banishment
256,bankrupt
257,barbarian
258,barbaric
259,barbarically
260,barbarity
261,barbarous
262,barbarously
263,barren
264,baseless
265,bash
266,bashed
267,bashful
268,bashing
269,bastard
270,bastards
271,battered
272,battering
273,batty
274,bearish
275,beastly
276,bedlam
277,bedlamite
278,befoul
279,beg
280,beggar
281,beggarly
282,begging
283,beguile
284,belabor
285,belated
286,beleaguer
287,belie
288,belittle
289,belittled
290,belittling
291,bellicose
292,belligerence
293,belligerent
294,belligerently
295,bemoan
296,bemoaning
297,bemused
298,bent
299,berate
300,bereave
301,bereavement
302,bereft
303,berserk
304,beseech
305,beset
306,besiege
307,besmirch
308,bestial
309,betray
310,betrayal
311,betrayals
312,betrayer
313,betraying
314,betrays
315,bewail
316,beware
317,bewilder
318,bewildered
319,bewildering
320,bewilderingly
321,bewilderment
322,bewitch
323,bias
324,biased
325,biases
326,bicker
327,bickering
328,bid-rigging
329,bigotries
330,bigotry
331,bitch
332,bitchy
333,biting
334,bitingly
335,bitter
336,bitterly
337,bitterness
338,bizarre
339,blab
340,blabber
341,blackmail
342,blah
343,blame
344,blameworthy
345,bland
346,blandish
347,blaspheme
348,blasphemous
349,blasphemy
350,blasted
351,blatant
352,blatantly
353,blather
354,bleak
355,bleakly
356,bleakness
357,bleed
358,bleeding
359,bleeds
360,blemish
361,blind
362,blinding
363,blindingly
364,blindside
365,blister
366,blistering
367,bloated
368,blockage
369,blockhead
370,bloodshed
371,bloodthirsty
372,bloody
373,blotchy
374,blow
375,blunder
376,blundering
377,blunders
378,blunt
379,blur
380,bluring
381,blurred
382,blurring
383,blurry
384,blurs
385,blurt
386,boastful
387,boggle
388,bogus
389,boil
390,boiling
391,boisterous
392,bomb
393,bombard
394,bombardment
395,bombastic
396,bondage
397,bonkers
398,bore
399,bored
400,boredom
401,bores
402,boring
403,botch
404,bother
405,bothered
406,bothering
407,bothers
408,bothersome
409,bowdlerize
410,boycott
411,braggart
412,bragger
413,brainless
414,brainwash
415,brash
416,brashly
417,brashness
418,brat
419,bravado
420,brazen
421,brazenly
422,brazenness
423,breach
424,break
425,break-up
426,break-ups
427,breakdown
428,breaking
429,breaks
430,breakup
431,breakups
432,bribery
433,brimstone
434,bristle
435,brittle
436,broke
437,broken
438,broken-hearted
439,brood
440,browbeat
441,bruise
442,bruised
443,bruises
444,bruising
445,brusque
446,brutal
447,brutalising
448,brutalities
449,brutality
450,brutalize
451,brutalizing
452,brutally
453,brute
454,brutish
455,bs
456,buckle
457,bug
458,bugging
459,buggy
460,bugs
461,bulkier
462,bulkiness
463,bulky
464,bulkyness
465,bull****
466,bull----
467,bullies
468,bullshit
469,bullshyt
470,bully
471,bullying
472,bullyingly
473,bum
474,bump
475,bumped
476,bumping
477,bumpping
478,bumps
479,bumpy
480,bungle
481,bungler
482,bungling
483,bunk
484,burden
485,burdensome
486,burdensomely
487,burn
488,burned
489,burning
490,burns
491,bust
492,busts
493,busybody
494,butcher
495,butchery
496,buzzing
497,byzantine
498,cackle
499,calamities
500,calamitous
501,calamitously
502,calamity
503,callous
504,calumniate
505,calumniation
506,calumnies
507,calumnious
508,calumniously
509,calumny
510,cancer
511,cancerous
512,cannibal
513,cannibalize
514,capitulate
515,capricious
516,capriciously
517,capriciousness
518,capsize
519,careless
520,carelessness
521,caricature
522,carnage
523,carp
524,cartoonish
525,cash-strapped
526,castigate
527,castrated
528,casualty
529,cataclysm
530,cataclysmal
531,cataclysmic
532,cataclysmically
533,catastrophe
534,catastrophes
535,catastrophic
536,catastrophically
537,catastrophies
538,caustic
539,caustically
540,cautionary
541,cave
542,censure
543,chafe
544,chaff
545,chagrin
546,challenging
547,chaos
548,chaotic
549,chasten
550,chastise
551,chastisement
552,chatter
553,chatterbox
554,cheap
555,cheapen
556,cheaply
557,cheat
558,cheated
559,cheater
560,cheating
561,cheats
562,checkered
563,cheerless
564,cheesy
565,chide
566,childish
567,chill
568,chilly
569,chintzy
570,choke
571,choleric
572,choppy
573,chore
574,chronic
575,chunky
576,clamor
577,clamorous
578,clash
579,cliche
580,cliched
581,clique
582,clog
583,clogged
584,clogs
585,cloud
586,clouding
587,cloudy
588,clueless
589,clumsy
590,clunky
591,coarse
592,cocky
593,coerce
594,coercion
595,coercive
596,cold
597,coldly
598,collapse
599,collude
600,collusion
601,combative
602,combust
603,comical
604,commiserate
605,commonplace
606,commotion
607,commotions
608,complacent
609,complain
610,complained
611,complaining
612,complains
613,complaint
614,complaints
615,complex
616,complicated
617,complication
618,complicit
619,compulsion
620,compulsive
621,concede
622,conceded
623,conceit
624,conceited
625,concen
626,concens
627,concern
628,concerned
629,concerns
630,concession
631,concessions
632,condemn
633,condemnable
634,condemnation
635,condemned
636,condemns
637,condescend
638,condescending
639,condescendingly
640,condescension
641,confess
642,confession
643,confessions
644,confined
645,conflict
646,conflicted
647,conflicting
648,conflicts
649,confound
650,confounded
651,confounding
652,confront
653,confrontation
654,confrontational
655,confuse
656,confused
657,confuses
658,confusing
659,confusion
660,confusions
661,congested
662,congestion
663,cons
664,conscons
665,conservative
666,conspicuous
667,conspicuously
668,conspiracies
669,conspiracy
670,conspirator
671,conspiratorial
672,conspire
673,consternation
674,contagious
675,contaminate
676,contaminated
677,contaminates
678,contaminating
679,contamination
680,contempt
681,contemptible
682,contemptuous
683,contemptuously
684,contend
685,contention
686,contentious
687,contort
688,contortions
689,contradict
690,contradiction
691,contradictory
692,contrariness
693,contravene
694,contrive
695,contrived
696,controversial
697,controversy
698,convoluted
699,corrode
700,corrosion
701,corrosions
702,corrosive
703,corrupt
704,corrupted
705,corrupting
706,corruption
707,corrupts
708,corruptted
709,costlier
710,costly
711,counter-productive
712,counterproductive
713,coupists
714,covetous
715,coward
716,cowardly
717,crabby
718,crack
719,cracked
720,cracks
721,craftily
722,craftly
723,crafty
724,cramp
725,cramped
726,cramping
727,cranky
728,crap
729,crappy
730,craps
731,crash
732,crashed
733,crashes
734,crashing
735,crass
736,craven
737,cravenly
738,craze
739,crazily
740,craziness
741,crazy
742,creak
743,creaking
744,creaks
745,credulous
746,creep
747,creeping
748,creeps
749,creepy
750,crept
751,crime
752,criminal
753,cringe
754,cringed
755,cringes
756,cripple
757,crippled
758,cripples
759,crippling
760,crisis
761,critic
762,critical
763,criticism
764,criticisms
765,criticize
766,criticized
767,criticizing
768,critics
769,cronyism
770,crook
771,crooked
772,crooks
773,crowded
774,crowdedness
775,crude
776,cruel
777,crueler
778,cruelest
779,cruelly
780,cruelness
781,cruelties
782,cruelty
783,crumble
784,crumbling
785,crummy
786,crumple
787,crumpled
788,crumples
789,crush
790,crushed
791,crushing
792,cry
793,culpable
794,culprit
795,cumbersome
796,cunt
797,cunts
798,cuplrit
799,curse
800,cursed
801,curses
802,curt
803,cuss
804,cussed
805,cutthroat
806,cynical
807,cynicism
808,d*mn
809,damage
810,damaged
811,damages
812,damaging
813,damn
814,damnable
815,damnably
816,damnation
817,damned
818,damning
819,damper
820,danger
821,dangerous
822,dangerousness
823,dark
824,darken
825,darkened
826,darker
827,darkness
828,dastard
829,dastardly
830,daunt
831,daunting
832,dauntingly
833,dawdle
834,daze
835,dazed
836,dead
837,deadbeat
838,deadlock
839,deadly
840,deadweight
841,deaf
842,dearth
843,death
844,debacle
845,debase
846,debasement
847,debaser
848,debatable
849,debauch
850,debaucher
851,debauchery
852,debilitate
853,debilitating
854,debility
855,debt
856,debts
857,decadence
858,decadent
859,decay
860,decayed
861,deceit
862,deceitful
863,deceitfully
864,deceitfulness
865,deceive
866,deceiver
867,deceivers
868,deceiving
869,deception
870,deceptive
871,deceptively
872,declaim
873,decline
874,declines
875,declining
876,decrement
877,decrepit
878,decrepitude
879,decry
880,defamation
881,defamations
882,defamatory
883,defame
884,defect
885,defective
886,defects
887,defensive
888,defiance
889,defiant
890,defiantly
891,deficiencies
892,deficiency
893,deficient
894,defile
895,defiler
896,deform
897,deformed
898,defrauding
899,defunct
900,defy
901,degenerate
902,degenerately
903,degeneration
904,degradation
905,degrade
906,degrading
907,degradingly
908,dehumanization
909,dehumanize
910,deign
911,deject
912,dejected
913,dejectedly
914,dejection
915,delay
916,delayed
917,delaying
918,delays
919,delinquency
920,delinquent
921,delirious
922,delirium
923,delude
924,deluded
925,deluge
926,delusion
927,delusional
928,delusions
929,demean
930,demeaning
931,demise
932,demolish
933,demolisher
934,demon
935,demonic
936,demonize
937,demonized
938,demonizes
939,demonizing
940,demoralize
941,demoralizing
942,demoralizingly
943,denial
944,denied
945,denies
946,denigrate
947,denounce
948,dense
949,dent
950,dented
951,dents
952,denunciate
953,denunciation
954,denunciations
955,deny
956,denying
957,deplete
958,deplorable
959,deplorably
960,deplore
961,deploring
962,deploringly
963,deprave
964,depraved
965,depravedly
966,deprecate
967,depress
968,depressed
969,depressing
970,depressingly
971,depression
972,depressions
973,deprive
974,deprived
975,deride
976,derision
977,derisive
978,derisively
979,derisiveness
980,derogatory
981,desecrate
982,desert
983,desertion
984,desiccate
985,desiccated
986,desititute
987,desolate
988,desolately
989,desolation
990,despair
991,despairing
992,despairingly
993,desperate
994,desperately
995,desperation
996,despicable
997,despicably
998,despise
999,despised
1000,despoil
1001,despoiler
1002,despondence
1003,despondency
1004,despondent
1005,despondently
1006,despot
1007,despotic
1008,despotism
1009,destabilisation
1010,destains
1011,destitute
1012,destitution
1013,destroy
1014,destroyer
1015,destruction
1016,destructive
1017,desultory
1018,deter
1019,deteriorate
1020,deteriorating
1021,deterioration
1022,deterrent
1023,detest
1024,detestable
1025,detestably
1026,detested
1027,detesting
1028,detests
1029,detract
1030,detracted
1031,detracting
1032,detraction
1033,detracts
1034,detriment
1035,detrimental
1036,devastate
1037,devastated
1038,devastates
1039,devastating
1040,devastatingly
1041,devastation
1042,deviate
1043,deviation
1044,devil
1045,devilish
1046,devilishly
1047,devilment
1048,devilry
1049,devious
1050,deviously
1051,deviousness
1052,devoid
1053,diabolic
1054,diabolical
1055,diabolically
1056,diametrically
1057,diappointed
1058,diatribe
1059,diatribes
1060,dick
1061,dictator
1062,dictatorial
1063,die
1064,die-hard
1065,died
1066,dies
1067,difficult
1068,difficulties
1069,difficulty
1070,diffidence
1071,dilapidated
1072,dilemma
1073,dilly-dally
1074,dim
1075,dimmer
1076,din
1077,ding
1078,dings
1079,dinky
1080,dire
1081,direly
1082,direness
1083,dirt
1084,dirtbag
1085,dirtbags
1086,dirts
1087,dirty
1088,disable
1089,disabled
1090,disaccord
1091,disadvantage
1092,disadvantaged
1093,disadvantageous
1094,disadvantages
1095,disaffect
1096,disaffected
1097,disaffirm
1098,disagree
1099,disagreeable
1100,disagreeably
1101,disagreed
1102,disagreeing
1103,disagreement
1104,disagrees
1105,disallow
1106,disapointed
