,sentence
0,CHAPTER 1.
1, Three Heroes Swear Brotherhood In The Peach Garden; One Victory Shatters The Rebels In Battlegrounds.
2," Domains under heaven, after a long period of division, tends to unite; after a long period of union, tends to divide."
3, This has been so since antiquity.
4," When the rule of the Zhou Dynasty weakened, seven contending kingdoms sprang up, warring one with another until the kingdom of Qin prevailed and possessed the empire."
5," But when Qin's destiny had been fulfilled, arose two opposing kingdoms, Chu and Han, to fight for the mastery."
6, And Han was the victor.
7,"  The rise of the fortunes of Han began when Liu Bang the Supreme Ancestor slew a white serpent to raise the banners of uprising, which only ended when the whole empire belonged to Han (BC 202)."
8," This magnificent heritage was handed down in successive Han emperors for two hundred years, till the rebellion of Wang Mang caused a disruption."
9," But soon Liu Xiu the Latter Han Founder restored the empire, and Han emperors continued their rule for another two hundred years till the days of Emperor Xian, which were doomed to see the beginning of the empire's division into three parts, known to history as The Three Kingdoms."
10,  But the descent into misrule hastened in the reigns of the two predecessors of Emperor Xian Emperors Huan and Ling who sat in the Dragon Throne about the middle of the second century.
11,"  Emperor Huan paid no heed to the good people of his court, but gave his confidence to the Palace eunuchs."
12," He lived and died, leaving the scepter to Emperor Ling, whose advisers were Regent Marshal Dou Wu and Imperial Guardian Chen Fan."
13," Dou Wu and Chen Fan, disgusted with the abuses of the eunuchs in the affairs of the state, plotted the destruction for the power−abusing eunuchs."
14, But Chief Eunuch Cao Jie was not to be disposed of easily.
15," The plot leaked out, and the honest Dou Wu and Chen Fan were put to death, leaving the eunuchs stronger than before."
16,"  It fell upon the day of full moon of the fourth month, the second year, in the era of Established Calm (AD 169), that Emperor Ling went in state to the Hall of Virtue."
17," As he drew near the throne, a rushing whirlwind arose in the corner of the hall and, lo!"
18, from the roof beams floated down a monstrous black serpent that coiled itself up on the very seat of majesty.
19, The Emperor fell in a swoon.
20, Those nearest him hastily raised and bore him to his palace while the courtiers scattered and fled.
21, The serpent disappeared.
22,"  But there followed a terrific tempest, thunder, hail, and torrents of rain, lasting till midnight and working havoc on all sides."
23," Two years later the earth quaked in Capital Luoyang, while along the coast a huge tidal wave rushed in which, in its recoil, swept away all the dwellers by the sea."
24," Another evil omen was recorded ten years later, when the reign title was changed to Radiant Harmony (AD 179): certain hens suddenly crowed."
25," At the new moon of the sixth month, a long wreath of murky cloud wound its way into the Hall of Virtue, while in the following month a rainbow was seen in the Dragon Chamber."
26," Away from the capital, a part of the Five Mountains collapsed, leaving a mighty rift in the flank."
27,  Such were some of various omens.
28," Emperor Ling, greatly moved by these signs of the displeasure of Heaven, issued an edict asking his ministers for an explanation of the calamities and marvels."
29," A court counselor, Cai Yong, replied bluntly:	Falling rainbows and changes of fowls' sexes are brought about by the interference of empresses and eunuchs in state affairs."
30,"  The Emperor read this memorial with deep sighs, and Chief Eunuch Cao Jie, from his place behind the throne, anxiously noted these signs of grief."
31," An opportunity offering, Cao Jie informed his fellows, and a charge was trumped up against Cai Yong, who was driven from the court and forced to retire to his country house."
32, With this victory the eunuchs grew bolder.
33," Ten of them, rivals in wickedness and associates in evil deeds, formed a powerful party known as the Ten Regular Attendants Zhang Rang, Zhao Zhong, Cheng Kuang, Duan Gui, Feng Xu, Guo Sheng, Hou Lan, Jian Shuo, Cao Jie, and Xia Yun."
34,"  One of them, Zhang Rang, won such influence that he became the Emperor's most honored and trusted adviser."
35, The Emperor even called him	Foster Father.
36,"	So the corrupt state administration went quickly from bad to worse, till the country was ripe for rebellion and buzzed with brigandage."
37,"  At this time in the county of Julu was a certain Zhang family, of whom three brothers bore the name of Zhang Jue, Zhang Bao, and Zhang Liang, respectively."
38," The eldest Zhang Jue was an unclassed graduate, who devoted himself to medicine."
39," One day, while culling simples in the woods, Zhang Jue met a venerable old gentleman with very bright, emerald eyes and fresh complexion, who walked with an oak−wood staff."
40, The old man beckoned Zhang Jue into a cave and there gave him three volumes of the	Book of Heaven.
41,"    This book,	said the old gentleman,	is the Way of Peace."
42," With the aid of these volumes, you can convert the world and rescue humankind."
43," But you must be single−minded, or, rest assured, you will greatly suffer."
44,"  With a humble obeisance, Zhang Jue took the book and asked the name of his benefactor."
45,"    I am Saint Hermit of the Southern Land,	was the reply, as the old gentleman disappeared in thin air."
46,  Zhang Jue studied the wonderful book eagerly and strove day and night to reduce its precepts to practice.
47," Before long, he could summon the winds and command the rain, and he became known as the Mystic of the Way of Peace."
48,"  In the first month of the first year of Central Stability (AD 184), there was a terrible pestilence that ran throughout the land, whereupon Zhang Jue distributed charmed remedies to the afflicted."
49," The godly medicines brought big successes, and soon he gained the tittle of the Wise and Worthy Master."
50, He began to have a following of disciples whom he initiated into the mysteries and sent abroad throughout all the land.
51," They, like their master, could write charms and recite formulas, and their fame increased his following."
52,  Zhang Jue began to organize his disciples.
53," He established thirty−six circuits, the larger with ten thousand or more members, the smaller with about half that number."
54, Each circuit had its chief who took the military title of General.
55, They talked wildly of the death of the blue heaven and the setting up of the golden one; they said a new cycle was beginning and would bring universal good fortune to all members; and they persuaded people to chalk the symbols for the first year of the new cycle on the main door of their dwellings.
56,  With the growth of the number of his supporters grew also the ambition of Zhang Jue.
57, The Wise and Worthy Master dreamed of empire.
58," One of his partisans, Ma Yuanyi, was sent bearing gifts to gain the support of the eunuchs within the Palace."
59," To his brothers Zhang Jue said, For schemes like ours always the most difficult part is to gain the popular favor."
60, But that is already ours.
61, Such an opportunity must not pass.
62,  And they began to prepare.
63," Many yellow flags and banners were made, and a day was chosen for the uprising."
64," Then Zhang Jue wrote letters to Eunuch Feng Xu and sent them by one of his followers, Tang Zhou, who alas!"
65, betrayed his trust and reported the plot to the court.
66, The Emperor summoned the trusty Regent Marshal He Jin and bade him look to the issue.
67, Ma Yuanyi was at once taken and beheaded.
68, Feng Xu and many others were cast into prison.
69," The plot having thus become known, the Zhang brothers were forced at once to take the field."
70," They took up grandiose titles: Zhang Jue the Lord of Heaven, Zhang Bao the Lord of Earth, and Zhang Liang the Lord of Human."
71," And in these names they put forth this manifesto:    The good fortune of the Han is exhausted, and the Wise and Worthy Man has appeared."
72," Discern the will of Heaven,  O ye people, and walk in the way of righteousness, whereby alone ye may attain to peace."
73,  Support was not lacking.
74," On every side people bound their heads with yellow scarves and joined the army of the rebel Zhang Jue, so that soon his strength was nearly half a million strong, and the official troops melted away at a whisper of his coming."
75,"  Regent Marshal and Guardian of the Throne, He Jin, memorialized for general preparations against the Yellow Scarves, and an edict called upon every one to fight against the rebels."
76," In the meantime, three Imperial Commanders Lu Zhi, Huangfu Song, and Zhu Jun marched against them in three directions with veteran soldiers."
77,"  Meanwhile Zhang Jue led his army into Youzhou, the northeastern region of the empire."
78," The Imperial Protector of Youzhou was Liu Yan, a scion of the Imperial House."
79," Learning of the approach of the rebels, Liu Yan called in Commander Zhou Jing to consult over the position."
80,"  Zhou Jing said,	They are many and we few."
81, We must enlist more troops to oppose them.
82,  Liu Yan agreed and he put out notices calling for volunteers to serve against the rebels.
83," One of these notices was posted up in the county of Zhuo, where lived one man of high spirit."
84,"  This man was no mere bookish scholar, nor found he any pleasure in study."
85," But he was liberal and amiable, albeit a man of few words, hiding all feeling under a calm exterior."
86, He had always cherished a yearning for high enterprise and had cultivated the friendship of humans of mark.
87, He was tall of stature.
88," His ears were long, the lobes touching his shoulders, and his hands hung down below his knees."
89, His eyes were very big and prominent so that he could see backward past his ears.
90," His complexion was as clear as jade, and he had rich red lips."
91,"  He was a descendant of Prince Faubus of Zhongshan whose father was the Emperor Myers, the occupant of the Dragon Throne a century and a half BC."
92, His name was Liu Bei.
93," Many years before, one of his forbears had been the governor of that very county, but had lost his rank for remissness in ceremonial offerings."
94," However, that branch of the family had remained on in the place, gradually becoming poorer and poorer as the years rolled on."
95, His father Liu Hong had been a scholar and a virtuous official but died young.
96," The widow and orphan were left alone, and Liu Bei as a lad won a reputation for filial piety."
97,"  At this time the family had sunk deep in poverty, and Liu Bei gained his living by selling straw sandals and weaving grass mats."
98, The family home was in a village near the chief city of Zhuo.
99," Near the house stood a huge mulberry tree, and seen from afar its curved profile resembled the canopy of a wagon."
100," Noting the luxuriance of its foliage, a soothsayer had predicted that one day a man of distinction would come forth from the family."
101," As a child, Liu Bei played with the other village children beneath this tree, and he would climb up into it, saying,	I am the Son of Heaven, and this is my chariot ."
102,"	His uncle, Liu Yuanqi, recognized that Liu Bei was no ordinary boy and saw to it that the family did not come to actual want."
103,"  When Liu Bei was fifteen, his mother sent him traveling for his education."
104, For a time he served Zheng Xuan and Lu Zhi as masters.
105, And he became great friends with Gongsun Zan.
106, Liu Bei was twenty−eight when the  outbreak of the Yellow Scarves called for soldiers.
107," The sight of the notice saddened him, and he sighed as he read it."
108," Suddenly a rasping voice behind him cried,	Sir, why sigh if you do nothing to help your country?"
109,"  Turning quickly he saw standing there a man about his own height, with a bullet head like a leopard's, large eyes, a swallow pointed chin, and whiskers like a tiger's."
110, He spoke in a loud bass voice and looked as irresistible as a dashing horse.
111, At once Liu Bei saw he was no ordinary man and asked who he was.
112,"    Zhang Fei is my name,	replied the stranger."
113,	I live near here where I have a farm; and I am a wine seller and a butcher as well; and I like to become acquainted with worthy humans.
114, Your sighs as you read the notice drew me toward you.
115,"  Liu Bei replied,	I am of the Imperial Family, Liu Bei is my name."
116," And I wish I could destroy these Yellow Scarves and restore peace to the land, but alas!"
117, I am helpless.
118,"  I have the means,	said Zhang Fei."
119,	Suppose you and I raised some troops and tried what we could do.
120,"  This was happy news for Liu Bei, and the two betook themselves to the village inn to talk over the project."
121," As they were drinking, a huge, tall fellow appeared pushing a hand−cart along the road."
122, At the threshold he halted and entered the inn to rest awhile and he called for wine.
123,"  And be quick,	added he,	for I am in haste to get into the town and offer myself for the army."
124,"  Liu Bei looked over the newcomer, item by item, and he noted the man had a huge frame, a long beard, a vivid face like an apple, and deep red lips."
125, He had eyes like a phoenix's and fine bushy eyebrows like silkworms.
126, His whole appearance was dignified and awe−inspiring.
127," Presently, Liu Bei crossed over, sat down beside him and asked his name."
128,"    I am Guan Yu,	replied he."
129,"	I am a native of the east side of the river, but I have been a fugitive on the waters for some five years, because I slew a ruffian who, since he was powerful, was a bully."
130, I have come to join the army here.
131,"  Then Liu Bei told Guan Yu his own intentions, and all three went away to Zhang Fei's farm where they could talk over the grand project."
132,"  Said Zhang Fei,	The peach trees in the orchard behind the house are just in full flower."
133, Tomorrow we will institute a sacrifice there and solemnly declare our intention before Heaven and Earth.
134, And we three will swear brotherhood and unity of aims and sentiments; thus will we enter upon our great task.
135,  Both Liu Bei and Guan Yu gladly agreed.
136,"  All three being of one mind, next day they prepared the sacrifices, a black ox, a white horse, and wine for libation."
137," Beneath the smoke of the incense burning on the altar, they bowed their heads and recited this oath:    We three Liu Bei, Guan Yu, and Zhang Fei though of different families, swear brotherhood, and promise mutual help to one end."
138, We will rescue each other in difficulty; we will aid each other in danger.
139, We swear to serve the state and save the people.
140," We ask not the same day of birth, but we seek to die together."
141," May Heaven, the all−ruling, and Earth, the all−producing, read our hearts; and if we turn aside from righteousness or forget kindliness, may Heaven and Human smite us!"
142,  They rose from their knees.
143," The two others bowed before Liu Bei as their elder brother, and Zhang Fei was to be the youngest of the trio."
144," This solemn ceremony performed, they slew other oxen and made a feast to which  they invited the villagers."
145," Three hundred joined them, and all feasted and drank deep in the Peach Garden."
146,  The next day weapons were mustered.
147, But there were no horses to ride.
148," This was a real grief, but soon they were cheered by the arrival of two horse dealers with a drove of horses."
149,"  Thus does Heaven help us,	said Liu Bei."
150,  And the three brothers went forth to welcome the merchants.
151, They were Zhang Shiping and Su Shuang from Zhongshan.
152, They went northwards every year to buy horses.
153, They were now on their way home because of the Yellow Scarves.
154," The brothers invited them to the farm, where wine was served before them."
155, Then Liu Bei told them of the plan to strive for tranquillity.
156," Zhang Shiping and Su Shuang were glad and at once gave the brothers fifty good steeds, and beside, five hundred ounces of gold and silver and one thousand five hundred pounds of steel fit for the forging of weapons."
157,"  The brothers expressed their gratitude, and the merchants took their leave."
158, Then blacksmiths were summoned to forge weapons.
159," For Liu Bei they made a pair of ancient swords; for Guan Yu they fashioned a long−handled, curve blade called Green−Dragon Saber, which weighed a full one hundred twenty pounds; and for Zhang Fei they created a ten−foot spear called Octane−Serpent Halberd."
160, Each too had a helmet and full armor.
161,"  When weapons were ready, the troop, now five hundred strong, marched to Commander Zhou Jing, who presented them to Imperial Protector Liu Yan."
162," When the ceremony of introduction was over, Liu Bei declared his ancestry, and Liu Yan at once accorded him the esteem due to a relation."
163,"  Before many days it was announced that the rebellion had actually broken out, and a Yellow Scarves chieftain, Cheng Yuanzhi, had invaded the region with a body of fifty thousand rebels."
164, Liu Yan bade Zhou Jing and the three brothers to go out to oppose them with the five hundred troops.
165, Liu Bei joyfully undertook to lead the van and marched to the foot of the Daxing Hills where they saw the rebels.
166," The rebels wore their hair flying about their shoulders, and their foreheads were bound with yellow scarves."
167,"  When the two armies had been drawn up opposite each other, Liu Bei rode to the front, Guan Yu to his left, Zhang Fei to his right."
168," Flourishing his whip, Liu Bei began to hurl reproaches at the rebels, crying,	O malcontents!"
169, Why not dismount and be bound?
170,"  Their leader Cheng Yuanzhi, full of rage, sent out one general, Deng Mao, to begin the battle."
171," At once rode forward Zhang Fei, his octane−serpent halberd poised to strike."
172," One thrust and Deng Mao rolled off his horse, pierced through the heart."
173, At this Cheng Yuanzhi himself whipped up his steed and rode forth with sword raised ready to slay Zhang Fei.
174, But Guan Yu swung up his ponderous green−dragon saber and rode at Cheng Yuanzhi.
175," At the sight fear seized upon Cheng Yuanzhi, and before he could defend himself, the great saber fell, cutting him in halves."
176,"  Two heroes new to war's alarms, Ride boldly forth to try their arms."
177," Their doughty deeds three kingdoms tell, And poets sing how these befell."
178," Their leader fallen, the rebels threw away their weapons and fled."
179, The official soldiers dashed in among them.
180, Many thousands surrendered and the victory was complete.
181, Thus this part of the rebellion was broken up.
182,"  On their return, Liu Yan personally met them and distributed rewards."
183," But the next day, letters came from Imperial Protector Gong Jing of Qingzhou saying that the rebels were laying siege to the chief city and it was near falling."
184, Help was needed quickly.
185,"  I will go,	said Liu Bei as soon as he heard the news."
186,"  And he set out at once with his own soldiers, reinforced by a body of five thousand under Zhou Jing."
